"email","first_name","last_name","customer_id","member","address","postcode","reg_date","phone_num"
"qhugk0@wired.com","Quinn","Hugk","qh4214202","yes","68031 Dorton Trail","PK7E 9DV","06/12/2023",NA
"rlefeaver1@e-recht24.de","Robinet",NA,"rl2124478","yes","0050 Emmet Terrace","J0M 1BI","01/12/2023","+44 7327597500"
"hskellorne2@amazon.de","Halimeda","Skellorne","hs3171544","yes","99092 Kensington Park","J3 9WW","18/12/2023","+44 7401748391"
"ckersey3@blog.com","Chloette","Kersey","ck3298710","yes","37 Gateway Place","QR9 8AM","05/11/2023","+44 7909552109"
"sshrubshall4@youtube.com","Sheilah","Shrubshall","ss6001158","yes","4 Debs Parkway","GM58 2NQ","06/11/2023","+44 7570951589"
"hbollands5@about.me","Hugues","Bollands","hb4655207","no","6100 Cascade Junction","IRRO 9IZ","27/12/2023","+44 7912664244"
"yelintune6@admin.ch","Yankee","Elintune","ye9728336","yes","737 Springview Parkway","Z87 4GZ","02/12/2023","+44 7410901910"
"mberrie7@cbsnews.com","Maurise","Berrie","mb6000682","yes","09182 Waywood Drive","JD7J 1II","17/11/2023",NA
"kbaudinot8@yahoo.co.jp","Kass","Baudinot","kb3700020","no","8 Blackbird Circle","G2 1SW","16/12/2023","+44 7957891876"
"abourthouloume9@dell.com","Alecia","Bourthouloume","ab2148526","no","9970 Marquette Terrace","ML5X 0WO","05/12/2023","+44 7620820361"
"eawdrya@soup.io","Erny","Awdry","ea7812662","no","99 Superior Drive","UC7O 1BO","04/12/2023",NA
"escurrerb@e-recht24.de","Elene","Scurrer","es7785006","yes","638 Canary Lane","HR 0XD","03/11/2023",NA
"tloffelc@wired.com","Tull","Loffel","tl5101514","yes","82728 Northview Way","TR 7PZ","06/12/2023","+44 7989112719"
"bbashfordd@creativecommons.org","Bron","Bashford","bb1621733","yes","88 Granby Way","PDR7 2ZB","01/01/2024","+44 7318259986"
"jashlinge@arstechnica.com","Jobyna","Ashling","ja3563724","no","972 Dottie Junction","CTR 1BI","04/12/2023","+44 7818567231"
"tyettonf@dagondesign.com","Tally","Yetton","ty3615284","no","372 Summerview Avenue","R07 8RH","15/12/2023","+44 7674229564"
"ahowgillg@pbs.org","Afton","Howgill","ah4728764","no","07807 Stang Drive","K3 3EG","20/12/2023","+44 7761390354"
"ojuschkah@chronoengine.com","Oralla","Juschka","oj4382266","yes","02 Cottonwood Terrace","VR 4TP","03/12/2023","+44 7903550237"
"bstricki@abc.net.au","Betta","Strick","bs3409748","no","17970 7th Way","YB1 4AP","18/12/2023","+44 7438930780"
"mpursehousej@engadget.com","Manolo","Pursehouse","mp7218399","yes","55 Heffernan Crossing","JYR 8TU","14/11/2023",NA
"tshardk@gnu.org","Trisha","Shard","ts5026493","yes","79157 Hazelcrest Crossing","A2 1XK","03/12/2023",NA
"hshoveltonl@acquirethisname.com","Heda","Shovelton","hs4852194","yes","29711 Maywood Park","T6 7AF","29/11/2023","+44 7070053802"
"bdispencerm@ovh.net","Barry","Dispencer","bd8885707","no","03671 Northfield Crossing","CV03 8RW","10/11/2023","+44 7218714135"
"ldriversn@howstuffworks.com","Lon","Drivers","ld5005967","yes","473 Portage Hill","ARV 5FK","03/12/2023","+44 7882210293"
"bheatlieo@shinystat.com","Bridie","Heatlie","bh4307849","yes","15094 Jenna Lane","WR 8OG","09/01/2024",NA
"pnornablep@microsoft.com","Phillis","Nornable","pn2709110","no","61477 Melrose Road","MR 1LA","28/11/2023",NA
